,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
19770927,   0.08,  -0.68,  -0.16,  -0.19,  -0.16,   0.12,  -0.04,   0.00,   0.03,  -0.09
19770928,  -0.11,   0.17,   0.06,   0.02,   0.22,   0.00,   0.22,  -0.03,   0.16,   0.02
19770929,   0.49,   0.32,   0.60,   0.59,   0.62,   0.62,   0.67,   0.75,   0.36,   0.43
19770930,   0.60,   0.64,   0.96,   0.83,   0.43,   0.34,   0.64,   0.92,   0.58,   0.74
19771003,   0.31,   0.21,   0.32,   0.40,   0.40,   0.13,   0.15,   0.49,   0.34,   0.23
19771004,  -0.33,  -0.80,  -0.73,  -0.06,  -1.08,  -1.31,  -1.06,  -0.72,  -0.03,  -0.43
19771005,  -0.09,  -0.54,  -0.41,  -0.34,  -0.57,  -0.76,  -0.12,  -0.36,  -0.06,  -0.19
19771006,   0.16,   0.49,   0.45,   0.35,   0.37,   0.47,   0.26,   0.60,   0.31,   0.38
19771007,   0.17,   0.15,  -0.15,  -0.10,  -0.17,   0.03,   0.20,  -0.18,   0.26,   0.12
19771010,  -0.33,  -0.20,  -0.25,  -0.11,  -0.01,   0.08,  -0.54,  -0.17,   0.11,  -0.15
19771011,  -0.43,  -1.08,  -0.97,  -1.07,  -0.73,  -0.15,  -0.76,  -0.55,  -0.25,  -0.74
19771012,  -1.26,  -0.68,  -1.27,  -1.54,  -0.91,  -0.52,  -0.98,  -1.02,  -0.52,  -1.33
19771013,  -0.79,  -0.36,  -0.67,  -0.45,   0.19,  -0.93,  -0.86,  -0.78,  -1.32,  -0.86
19771014,  -0.05,   0.66,   0.03,   0.18,  -0.21,  -0.19,   0.31,   0.25,  -0.25,   0.08
19771017,  -0.09,   0.12,  -0.15,   0.03,   0.03,  -0.23,  -0.43,   0.35,  -0.18,  -0.13
19771018,   0.14,  -0.11,  -0.01,  -0.03,  -0.41,   0.04,   0.03,   0.74,  -0.01,   0.02
19771019,  -0.79,  -0.66,  -1.26,  -0.86,  -0.77,  -2.32,  -0.86,  -1.42,  -0.48,  -0.99
19771020,   0.28,   0.44,  -0.05,   0.38,   0.61,   0.29,   0.59,   0.26,  -0.25,   0.12
19771021,  -0.06,  -0.01,  -0.70,  -0.11,   0.20,   0.20,   0.12,   0.06,  -0.38,  -0.29
19771024,  -0.63,  -0.61,  -0.77,  -1.02,  -0.49,  -0.49,  -0.88,  -0.81,  -0.41,  -1.05
19771025,  -0.98,  -1.19,  -0.54,  -0.92,  -0.46,  -0.38,  -0.87,  -0.83,  -0.88,  -1.12
19771026,   1.02,  -0.41,   1.37,   0.96,   1.30,   0.67,   2.22,   1.77,   0.24,   0.89
19771027,   0.27,   0.32,   0.72,   0.20,   0.19,   0.02,   0.34,   0.55,   0.19,   0.50
19771028,   0.08,  -0.15,   0.56,   0.77,  -0.05,   0.04,   0.17,   0.47,   0.42,   0.45
19771031,   0.03,  -0.11,  -0.21,  -0.22,  -0.67,   0.17,  -0.22,  -0.41,  -0.04,   0.00
19771101,  -0.94,  -1.29,  -1.13,  -0.90,  -0.73,  -0.84,  -1.38,  -1.08,  -0.55,  -0.85
19771102,  -0.69,  -0.16,  -0.92,  -0.22,  -1.09,  -0.15,  -0.74,  -0.35,  -0.63,  -0.33
19771103,   0.00,  -0.16,   0.34,   0.26,   0.45,   0.24,   0.12,  -0.30,   0.15,   0.07
19771104,   1.13,   1.45,   0.89,   1.03,   1.24,   0.20,   1.18,   0.85,   0.73,   0.95
19771107,   0.85,   1.70,   0.98,   0.39,   0.42,   0.60,   1.08,   1.33,   0.58,   0.99
19771108,   0.22,   0.23,   0.12,   0.13,  -0.02,   0.33,   0.54,  -0.10,   0.37,   0.36
19771109,   0.77,   0.10,   0.39,   0.68,   0.79,   0.43,   0.26,   0.62,   0.55,   0.53
19771110,   1.34,   2.09,   2.33,   1.87,   2.50,   0.89,   1.87,   2.55,   1.41,   1.96
19771111,   0.99,   0.86,   1.65,   1.49,   1.00,   0.93,   1.72,   1.40,   0.92,   1.41
19771114,  -0.29,  -0.64,  -0.71,  -0.84,  -0.50,   0.23,  -0.94,  -0.42,  -0.03,  -0.32
19771115,   0.32,   0.24,   0.83,   0.38,   1.33,   0.34,   1.09,   1.58,   0.12,   0.70
19771116,   0.15,  -0.63,  -0.45,  -0.47,  -0.92,  -0.14,   0.13,  -0.19,   0.01,  -0.05
19771117,   0.05,  -0.45,  -0.26,  -0.63,   0.07,  -0.09,  -0.40,  -0.09,   0.12,  -0.06
19771118,   0.21,   0.23,   0.38,   0.02,   0.49,   0.24,   0.27,   0.16,   0.32,   0.30
19771121,  -0.21,  -0.25,  -0.02,  -0.33,  -0.03,   0.04,   0.04,   0.11,  -0.18,   0.19
19771122,   0.74,   0.89,   0.96,   0.84,   1.67,   0.30,   1.24,   1.06,   0.46,   0.72
19771123,   0.73,   0.25,   0.71,   0.77,   0.76,  -0.16,   0.64,   0.75,   0.26,   0.80
19771125,   0.43,  -0.39,   0.48,   0.35,   0.15,   0.28,   0.66,   0.57,   0.19,   0.43
19771128,  -0.42,  -0.74,  -0.59,  -0.35,  -1.01,  -0.19,  -0.64,  -1.00,  -0.01,  -0.42
19771129,  -1.12,  -1.48,  -1.76,  -1.31,  -1.80,  -1.10,  -1.57,  -1.95,  -0.46,  -1.20
19771130,   0.26,   0.14,   0.11,   0.34,   0.49,  -0.20,   0.37,   0.53,  -0.09,   0.17
19771201,   0.26,   0.15,  -0.04,  -0.12,  -0.27,   0.34,  -0.14,  -0.12,   0.22,   0.35
19771202,   0.01,  -0.05,  -0.21,  -0.35,   0.45,   0.21,   0.13,  -0.22,   0.21,   0.31
19771205,  -0.42,  -0.44,  -0.28,  -0.35,  -0.49,  -0.14,  -0.35,  -0.71,  -0.17,  -0.25
19771206,  -1.54,  -1.81,  -1.74,  -1.30,  -1.58,  -0.66,  -1.89,  -1.81,  -0.64,  -1.70
19771207,  -0.23,  -0.01,  -0.12,  -0.05,   0.09,  -0.15,  -0.33,   0.06,  -0.24,  -0.16
19771208,   0.32,  -0.25,   0.31,   0.35,   0.39,   0.11,   0.30,   0.17,  -0.04,   0.21
19771209,   0.65,   0.98,   0.87,   1.22,   0.92,   0.54,   0.19,   0.62,  -0.04,   0.59
19771212,  -0.10,  -0.02,  -0.03,   0.30,  -0.14,   0.67,  -0.04,  -0.45,   0.15,   0.18
19771213,  -0.09,   0.20,  -0.08,  -0.18,   0.03,   0.27,  -0.25,   0.15,  -0.21,   0.03
19771214,   0.23,   0.43,   0.50,   0.09,   0.74,   0.38,   0.74,   0.64,  -0.07,   0.16
19771215,  -0.15,  -0.82,  -0.53,  -0.28,  -0.45,  -0.65,  -0.54,  -0.31,   0.01,  -0.23
19771216,   0.12,  -0.69,  -0.06,  -0.02,  -0.16,   0.01,  -0.34,  -0.24,  -0.04,   0.06
19771219,  -0.64,  -1.24,  -0.82,  -0.44,  -0.62,   0.22,  -1.09,  -0.77,  -0.37,  -0.92
19771220,  -0.39,   0.24,  -0.33,  -0.56,   0.12,  -0.22,  -0.45,  -0.11,  -0.31,  -0.67
19771221,   0.27,   1.18,   0.77,   0.76,   0.61,   0.54,   0.81,   0.67,   0.14,   0.42
19771222,   0.58,   1.21,   1.00,   0.37,   0.75,   0.07,   0.84,   1.53,   0.13,   0.64
19771223,   0.72,   0.58,   1.07,   1.25,   1.09,   0.48,   0.86,   1.17,   0.45,   0.88
19771227,  -0.21,  -0.33,   0.05,   0.30,  -0.08,   0.01,  -0.05,   0.07,   0.03,  -0.04
19771228,  -0.07,  -0.30,   0.04,   0.15,   0.30,  -0.08,  -0.53,   0.15,   0.20,   0.09
19771229,   0.46,   0.03,   0.32,   0.32,   0.61,   0.10,   0.59,   0.22,   0.17,   0.38
19771230,   0.25,   0.26,   0.08,   0.42,   0.09,   0.09,   0.33,  -0.03,   0.11,   0.33
19780103,  -1.01,  -1.69,  -1.41,  -1.54,  -2.05,  -0.78,  -1.47,  -1.32,  -0.38,  -0.98
19780104,  -0.26,  -0.28,  -0.26,  -1.14,   0.37,  -0.17,  -0.48,   0.22,  -0.36,  -0.62
19780105,  -0.54,  -0.74,  -0.80,  -0.93,  -1.34,   0.04,  -1.17,  -1.24,  -0.09,  -0.45
19780106,  -1.29,  -1.67,  -1.35,  -1.28,  -0.57,  -0.24,  -1.05,  -1.50,  -0.92,  -1.64
19780109,  -1.36,  -1.19,  -1.09,  -1.54,  -0.30,  -0.93,  -1.34,  -0.66,  -1.21,  -1.44
19780110,  -0.39,  -0.44,  -0.36,  -1.39,  -0.62,  -0.66,  -0.39,  -0.41,  -0.60,  -0.62
19780111,  -0.48,  -0.80,  -0.61,  -0.45,  -0.53,  -0.39,  -0.77,  -0.57,  -0.36,  -0.33
19780112,  -0.11,  -0.02,   0.13,   0.58,   0.26,   0.33,   0.17,   0.57,  -0.05,   0.23
19780113,  -0.06,   0.10,   0.04,  -0.35,  -0.19,   0.21,  -0.06,   0.26,   0.24,   0.05
19780116,  -0.20,  -0.29,  -0.41,  -0.72,   0.26,  -0.30,  -0.23,  -0.25,  -0.17,  -0.41
19780117,   0.45,   0.73,   0.87,   0.28,   0.55,  -0.39,   0.63,   0.86,   0.17,   0.80
19780118,   0.74,   1.02,   0.97,   0.65,   0.38,   0.02,   0.79,   1.37,   0.26,   0.80
19780119,  -0.13,  -0.57,  -0.42,  -0.36,  -0.36,  -0.61,  -0.38,  -0.20,  -0.29,  -0.05
19780120,  -0.16,  -0.28,  -0.25,  -0.05,  -0.38,  -0.56,  -0.08,  -0.08,   0.08,  -0.12
19780123,  -0.65,  -1.22,  -0.91,  -0.52,  -0.49,  -0.77,  -0.65,   0.42,  -0.40,  -0.59
19780124,  -0.15,  -0.15,   0.12,  -0.11,   0.25,   0.36,  -0.09,   0.21,  -0.29,   0.13
19780125,   0.19,  -0.05,   0.26,   0.41,   0.13,   0.31,   0.00,   0.11,  -0.16,   0.26
19780126,  -0.59,  -0.02,  -1.11,  -0.71,  -0.91,  -0.70,  -1.57,  -0.60,  -0.34,  -0.59
19780127,  -0.23,   0.05,  -0.03,   0.12,   0.22,  -0.05,   0.12,   0.20,  -0.13,  -0.11
19780130,   0.65,   0.90,   0.84,   1.44,   1.02,   0.89,   0.65,   0.74,   0.22,   0.43
19780131,   0.18,  -0.41,  -0.42,   0.49,  -0.52,   0.17,   0.33,   0.03,   0.14,  -0.16
19780201,   0.91,   1.01,   0.71,   1.17,   0.42,   1.24,   0.40,   1.64,   0.29,   0.74
19780202,   0.66,   0.28,   0.09,   1.17,  -0.52,   0.27,   0.36,  -0.36,   0.46,   0.60
19780203,  -0.10,  -0.18,  -0.42,  -1.05,  -0.64,   0.31,   0.04,  -0.28,   0.06,   0.12
19780206,   0.15,  -0.07,  -0.16,   0.46,  -0.15,   0.02,   0.16,  -0.25,   0.08,  -0.03
19780207,   0.50,   1.23,   0.86,   1.07,   0.96,   0.42,   1.39,   0.72,   0.43,   0.45
19780208,   0.50,   0.74,   0.58,   0.52,   0.19,   0.78,   0.70,   0.53,   0.48,   0.56
19780209,  -0.19,  -0.15,  -0.32,  -0.64,  -0.37,  -0.32,  -0.44,  -0.45,  -0.38,  -0.17
19780210,   0.05,   0.00,  -0.20,  -0.32,  -0.35,   0.21,  -0.51,  -0.23,   0.09,   0.18
19780213,  -0.36,  -0.07,  -0.19,  -0.41,   0.02,   0.03,  -0.45,  -0.19,  -0.13,  -0.42
19780214,  -0.44,  -1.25,  -0.93,  -1.03,  -0.87,  -0.80,  -0.30,  -0.44,  -0.35,  -0.68
19780215,  -0.32,  -0.52,  -0.37,  -0.15,  -0.21,   0.83,  -0.18,  -0.69,  -0.24,  -0.26
19780216,  -0.47,  -0.94,  -0.97,  -0.88,  -0.52,  -0.48,  -0.70,  -1.21,  -0.38,  -0.84
19780217,   0.03,  -0.12,  -0.01,  -0.01,  -0.21,   0.26,  -0.45,  -0.87,  -0.05,  -0.03
19780221,  -0.54,  -0.23,  -0.46,  -0.29,  -0.32,   0.22,  -0.37,  -0.65,  -0.49,  -0.37
19780222,   0.34,  -0.08,   0.14,   0.20,  -0.03,  -0.09,   0.00,  -0.05,  -0.14,   0.20
19780223,   0.04,   0.39,   0.07,   0.33,   0.48,   0.49,   0.23,  -0.02,  -0.05,   0.21
19780224,   0.58,   0.91,   0.87,   0.84,   0.74,   0.93,   1.12,   1.49,   0.60,   0.89
19780227,  -0.45,  -0.10,  -0.92,  -0.98,  -1.16,  -0.47,  -0.69,  -0.78,  -0.24,  -0.44
19780228,  -0.73,  -0.43,  -0.99,  -1.05,  -0.96,   0.26,  -0.71,  -0.90,  -0.45,  -0.84
19780301,   0.14,   0.16,   0.17,   0.38,   0.36,  -0.39,  -0.28,   0.22,  -0.12,   0.18
19780302,   0.31,   0.25,   0.34,   0.19,  -0.38,   0.37,   0.63,   0.00,   0.09,   0.43
19780303,   0.35,   0.41,   0.19,   0.32,  -0.69,  -0.13,   0.46,   0.44,   0.06,   0.23
19780306,  -0.31,  -0.19,  -0.72,  -0.48,  -1.22,  -0.04,  -0.86,  -0.53,  -0.12,  -0.41
19780307,   0.45,   0.31,   0.57,   0.08,   1.35,   0.70,   0.38,   0.44,   0.36,   0.43
19780308,   0.51,   0.56,   0.66,   0.27,   0.66,  -0.11,   0.70,   0.80,   0.60,   0.51
19780309,   0.11,   0.32,   0.14,   0.27,  -0.25,   0.61,   0.33,   0.44,   0.18,   0.30
19780310,   1.03,   1.22,   1.18,   1.59,   0.34,   0.79,   1.20,   1.55,   0.62,   1.01
19780313,   0.12,   0.32,   0.10,   0.71,  -0.74,  -0.04,  -0.14,   0.27,   0.21,   0.12
19780314,   0.08,   0.28,   0.52,   0.75,   0.90,   0.20,   0.12,   0.43,   0.18,   0.36
19780315,  -0.07,  -0.23,  -0.26,  -0.34,  -0.66,   0.10,  -0.05,  -0.22,   0.16,   0.10
19780316,   0.25,   0.95,   0.49,   0.09,   1.17,   0.50,   0.06,   0.60,   0.02,   0.59
19780317,   0.79,   0.62,   0.91,   1.03,   0.64,   0.25,   1.12,   0.73,   0.11,   0.88
19780320,   0.97,   0.58,   0.74,   0.53,  -0.23,   0.43,   0.99,   1.18,   0.25,   0.75
19780321,  -0.86,  -0.81,  -1.08,  -1.45,  -1.12,  -0.20,  -1.79,  -1.34,  -0.17,  -0.71
19780322,  -0.45,  -0.30,  -0.28,  -0.26,  -0.07,  -0.09,  -0.47,  -0.33,  -0.18,  -0.11
19780323,   0.14,   0.07,  -0.02,  -0.41,   0.05,  -0.14,   0.26,  -0.40,   0.10,   0.10
19780327,  -0.29,   0.29,  -0.60,  -0.49,  -0.59,  -0.54,  -0.59,  -0.97,  -0.05,  -0.22
19780328,   0.60,   0.90,   0.66,   0.40,   0.74,   0.56,   1.11,   0.94,   0.15,   0.74
19780329,   0.40,   0.67,   0.39,  -0.29,   0.08,   0.09,  -0.10,   0.63,   0.07,   0.41
19780330,  -0.10,  -0.09,  -0.20,  -0.40,  -0.17,  -0.20,  -0.12,  -0.30,  -0.12,  -0.21
19780331,  -0.06,  -0.33,  -0.05,  -0.40,  -0.73,  -0.12,  -0.15,  -0.41,   0.04,  -0.11
19780403,  -0.80,  -1.05,  -0.81,  -0.66,  -0.25,  -0.46,  -0.82,  -1.01,  -0.60,  -0.58
19780404,   0.18,   0.50,   0.41,   0.29,   0.81,   0.48,   0.52,   0.34,   0.22,   0.38
19780405,   0.75,   0.86,   1.07,   0.69,   1.59,   0.39,   0.79,   1.04,   0.24,   0.78
19780406,   0.24,   0.37,   0.28,   0.24,  -0.01,   0.06,   0.43,   0.45,   0.08,   0.44
19780407,   0.49,   0.48,   0.61,   0.48,   0.38,   0.27,   1.11,   0.38,   0.22,   0.49
19780410,   0.33,   0.23,   0.48,   0.33,   0.11,  -0.02,   0.96,   0.37,   0.04,   0.40
19780411,  -0.24,  -0.16,  -0.14,  -0.17,  -0.38,  -0.23,  -0.17,  -0.54,   0.04,  -0.13
19780412,   0.19,   0.16,   0.09,  -0.28,  -0.83,   0.17,  -0.23,   0.10,   0.12,   0.27
19780413,   0.89,   1.23,   1.25,   0.72,   1.23,   0.18,   1.36,   1.20,   0.14,   1.34
19780414,   1.68,   2.31,   2.44,   2.06,   2.25,   0.61,   2.02,   2.31,   0.45,   1.96
19780417,   1.50,   2.22,   1.82,   1.22,   2.60,   0.67,   2.07,   0.97,  -0.05,   1.11
19780418,  -1.29,  -0.87,  -1.16,  -1.21,  -0.47,  -1.04,  -1.57,  -1.30,  -0.40,  -0.88
19780419,   0.17,   0.05,   0.64,   0.34,   0.86,   0.26,   0.39,   0.57,  -0.08,   0.32
19780420,   0.63,   0.75,   0.94,   0.48,   0.56,   0.91,   0.48,   0.52,   0.12,   1.23
19780421,  -0.15,  -0.20,  -0.16,  -0.20,  -0.07,  -0.22,  -0.04,  -0.05,   0.14,   0.13
19780424,   0.76,   1.80,   1.77,   1.45,   1.79,   0.84,   1.81,   1.12,   0.28,   0.86
19780425,   0.96,   0.68,   0.97,   0.74,   1.22,   0.09,   1.02,   1.60,  -0.05,   0.79
19780426,   0.13,   0.45,   0.34,   0.17,   0.21,  -0.10,   0.42,   0.36,  -0.44,   0.30
19780427,  -0.34,  -1.56,  -1.07,  -1.02,  -0.59,  -0.63,  -1.17,  -0.69,  -0.35,  -0.77
19780428,   0.68,   1.05,   1.15,   0.92,   1.62,   0.68,   1.04,   1.20,   0.08,   0.57
19780501,   1.15,   0.53,   1.03,   1.11,   0.98,   0.75,   0.20,   1.48,   0.18,   0.82
19780502,   0.27,  -0.46,  -0.27,  -0.09,  -0.68,  -0.20,  -1.11,  -0.04,   0.15,  -0.17
19780503,  -0.65,  -0.77,  -1.04,  -0.60,  -1.07,  -0.68,  -0.83,  -0.30,  -0.20,  -0.52
19780504,   0.01,  -0.13,   0.05,   0.20,   0.19,  -0.92,   0.17,  -0.11,  -0.26,   0.00
19780505,   0.57,   0.01,   0.80,   1.43,   0.86,   0.39,   0.56,   0.91,   0.05,   0.68
19780508,  -0.33,  -0.44,  -0.41,   0.13,  -0.60,  -0.30,   0.04,  -0.52,  -0.20,   0.00
19780509,  -0.08,  -0.09,   0.01,  -0.37,   0.02,  -0.07,  -0.37,  -0.36,  -0.11,  -0.22
19780510,   0.48,   0.18,   0.33,  -0.44,   0.19,  -0.07,   0.07,   0.14,  -0.04,   0.19
19780511,   1.16,   1.22,   1.83,   0.44,   2.15,   0.50,   1.28,   1.61,  -0.04,   0.97
19780512,   1.35,   1.22,   1.20,   0.69,   0.25,  -0.41,   0.90,   1.61,   0.08,   1.15
19780515,   0.48,   0.70,   0.80,   0.62,   1.23,   0.94,   0.76,   0.84,   0.03,   0.18
19780516,   0.73,   0.09,   1.10,   0.27,   0.92,  -0.10,   0.83,   1.18,   0.18,   0.91
19780517,   0.63,   0.49,   0.47,   0.37,  -0.26,   0.59,   0.60,   0.02,  -0.29,   0.38
19780518,  -0.40,  -1.27,  -0.90,  -1.32,  -1.08,   0.08,  -0.91,  -0.97,  -0.07,  -0.29
19780519,  -0.55,  -0.82,  -0.47,  -0.29,  -0.67,   0.15,  -0.38,  -1.13,   0.12,  -0.37
19780522,   0.66,   0.57,   1.04,   0.71,   1.50,   0.61,   0.97,   1.90,   0.55,   0.49
19780523,  -0.60,  -0.99,  -0.96,  -0.60,  -1.29,  -1.31,  -0.81,  -1.03,  -0.12,  -0.72
19780524,  -0.95,  -0.76,  -1.22,  -1.06,  -0.48,  -0.32,  -1.40,  -1.05,  -0.46,  -1.14
19780525,  -0.14,  -0.12,  -0.18,  -0.29,  -0.38,  -0.03,   0.05,  -0.42,   0.33,  -0.17
19780526,  -0.31,  -0.20,  -0.23,  -0.36,  -0.05,   0.23,  -0.22,   0.15,   0.03,  -0.10
19780530,   0.21,   0.29,   0.44,   0.06,   0.37,   0.00,   0.31,   0.30,   0.36,   0.15
19780531,   0.51,   1.02,   0.67,   0.30,  -0.31,  -0.18,   0.59,   0.94,   0.49,   0.37
19780601,   0.20,   0.20,  -0.05,   0.21,  -0.03,   0.36,   0.00,   0.50,   0.41,   0.05
19780602,   0.59,   0.23,   0.91,   0.23,   1.35,   0.69,   0.92,   2.13,   0.40,   0.72
19780605,   1.50,   1.89,   1.96,   1.15,   2.36,   0.82,   1.53,   3.41,   0.34,   1.51
19780606,   0.64,   0.43,   0.59,   0.28,   0.45,   0.05,   0.02,   0.24,   0.17,   0.81
19780607,  -0.28,  -0.43,  -0.28,  -0.05,  -0.03,   0.06,  -0.28,  -0.16,   0.15,   0.08
19780608,   0.34,  -0.34,   0.39,  -0.14,   0.73,   0.23,   0.06,  -0.12,   0.05,   0.48
19780609,  -0.11,  -0.74,   0.13,  -0.39,   0.25,  -0.35,  -0.12,  -1.01,  -0.13,   0.18
19780612,  -0.30,  -0.12,  -0.40,  -0.24,  -0.45,   0.20,  -0.14,  -0.88,  -0.03,  -0.12
19780613,  -0.16,  -0.20,  -0.03,   0.35,   1.55,  -0.25,  -0.26,   0.15,  -0.13,  -0.07
19780614,   0.32,  -0.41,  -0.05,  -0.46,  -0.71,  -0.12,   0.16,   0.67,   0.22,   0.26
19780615,  -0.82,  -1.28,  -1.15,  -0.66,  -0.99,  -1.23,  -0.72,  -1.05,  -0.46,  -0.93
19780616,  -0.78,  -0.56,  -1.11,  -0.85,  -1.63,   0.00,  -0.79,  -0.65,  -0.35,  -0.73
19780619,  -0.11,   0.55,  -0.37,  -0.36,   0.60,  -0.19,  -0.05,  -0.27,  -0.14,  -0.42
19780620,  -0.47,  -1.19,  -1.00,  -1.06,  -1.28,  -0.85,  -0.91,  -1.30,  -0.34,  -0.88
19780621,  -0.78,  -0.63,  -0.77,  -0.47,   0.03,  -0.49,  -0.72,  -0.90,  -0.22,  -0.94
19780622,   0.24,   0.37,   0.46,   0.23,  -0.04,  -0.11,   0.07,   0.41,   0.32,   0.18
19780623,  -0.19,  -0.36,  -0.34,  -0.88,  -1.04,   0.19,  -0.08,  -0.10,   0.37,   0.12
19780626,  -1.25,  -0.82,  -1.41,  -1.15,  -1.89,  -0.40,  -1.51,  -1.74,  -0.31,  -1.43
19780627,   0.19,   0.31,   0.45,  -0.01,   0.63,   0.04,   0.05,   0.41,   0.14,   0.10
19780628,   0.33,   0.04,   0.52,   0.46,   0.61,  -0.18,   0.48,   0.77,   0.06,   0.45
19780629,   0.35,   0.53,   0.35,   0.02,  -0.20,   0.07,   0.42,   0.33,   0.30,   0.25
19780630,   0.36,  -0.21,  -0.22,   0.01,  -0.53,  -0.07,  -0.08,   0.42,   0.02,   0.06
19780703,  -0.46,  -0.24,  -0.49,  -0.44,  -0.32,  -0.28,  -0.17,  -0.20,   0.15,  -0.09
19780705,  -0.83,  -0.77,  -0.99,  -1.27,  -0.32,  -0.76,  -1.31,  -1.03,  -0.25,  -0.78
19780706,  -0.17,  -0.10,   0.07,   0.13,   0.16,  -0.50,  -0.14,   0.69,   0.04,  -0.14
19780707,   0.44,   0.68,   0.73,   0.46,   0.87,   0.47,   0.78,   0.98,   0.24,   0.48
19780710,   0.20,   0.90,   0.50,   0.10,   0.17,   0.24,   0.21,   1.22,   0.03,   0.37
19780711,   0.46,   0.76,   0.62,   1.73,   0.18,   0.37,   0.27,   0.87,   0.34,   0.42
19780712,   0.30,   0.42,   0.40,   0.43,   0.32,   0.34,   0.36,  -0.05,   0.41,   0.48
19780713,  -0.10,  -0.22,  -0.01,   0.17,   0.28,   0.22,   0.11,   0.17,  -0.16,   0.02
19780714,   0.55,   1.55,   1.69,   1.07,   2.29,   0.54,   1.17,   1.70,   0.14,   1.19
19780717,   0.50,  -0.48,   0.35,   0.26,  -0.24,   0.55,   0.13,   0.64,  -0.03,   0.54
19780718,  -0.47,  -1.06,  -0.81,  -1.47,  -0.87,  -0.41,  -0.62,  -1.23,  -0.20,  -0.41
19780719,   0.53,   1.07,   1.52,   0.99,   1.77,   0.87,   0.94,   1.60,   0.40,   1.06
19780720,   0.02,  -0.28,   0.12,  -0.26,  -0.28,  -0.16,   0.42,  -0.19,  -0.02,   0.46
19780721,  -0.21,  -0.53,  -0.58,   0.43,  -0.14,  -0.46,  -0.30,  -0.77,  -0.09,  -0.39
19780724,   0.25,   0.29,  -0.03,  -0.66,   0.09,  -0.17,  -0.31,   0.02,   0.15,  -0.10
19780725,   0.12,   0.55,   1.00,   0.91,   0.88,   0.59,   0.64,   0.81,   0.34,   0.60
19780726,   0.80,   1.09,   0.77,   0.06,   0.87,   0.98,   0.42,   0.58,   0.12,   0.71
19780727,   0.14,   0.54,   0.84,   0.25,   0.93,  -0.12,   0.45,   0.95,   0.46,   0.56
19780728,   0.31,   0.01,   0.83,   0.11,   0.82,  -0.03,   0.63,   0.67,   0.42,   0.53
19780731,   1.09,   0.48,   1.08,   0.32,   0.85,  -0.85,   1.35,   1.13,   0.29,   0.96
19780801,   0.10,   0.03,  -0.01,   0.28,  -0.24,   0.64,   0.77,  -0.53,   0.21,   0.29
19780802,   1.58,   2.67,   2.63,   1.93,   3.98,   0.57,   3.25,   2.51,   0.61,   1.62
19780803,   1.01,   0.88,   0.28,  -0.22,  -0.38,   1.56,   0.50,   0.15,   0.59,   0.87
19780804,   0.33,   0.16,   0.36,   0.94,   0.84,   0.22,   0.00,   0.27,   0.27,   0.54
19780807,  -0.25,   0.41,  -0.38,  -0.41,  -0.47,  -0.48,   0.14,  -0.15,  -0.19,   0.39
19780808,   0.53,   0.57,   0.69,   0.50,   0.76,   0.27,   0.36,   0.65,  -0.08,   0.46
19780809,   0.20,   0.20,   0.80,   0.38,   0.36,   0.33,   0.55,   0.81,   0.00,   0.96
19780810,  -0.50,  -0.53,  -0.68,  -0.80,  -0.66,   0.03,  -0.83,  -1.02,  -0.19,  -0.43
19780811,   0.24,   0.43,   0.60,   0.79,   0.50,  -0.44,   0.34,   0.03,  -0.19,   0.29
19780814,  -0.02,  -0.43,  -0.04,   0.90,   0.08,  -0.25,   0.27,   0.03,   0.05,   0.15
19780815,  -0.26,  -0.19,  -0.02,  -0.31,   0.23,   0.11,   0.01,  -0.38,  -0.16,  -0.22
19780816,   0.56,   0.50,   0.97,   0.45,   1.52,   0.24,   0.73,   0.68,   0.08,   0.88
19780817,   0.82,   0.69,   0.65,   0.35,   0.00,   0.89,   1.10,   0.49,   0.00,   0.85
19780818,  -0.02,  -0.63,  -0.26,   0.22,  -0.48,  -0.63,  -0.26,  -0.80,  -0.05,   0.05
19780821,  -0.56,  -1.11,  -1.10,  -0.29,  -0.92,   0.24,  -1.13,  -1.19,  -0.25,  -0.98
19780822,   0.31,   0.46,   0.26,   0.32,   0.95,   0.69,  -0.19,   0.48,  -0.03,   0.15
19780823,   0.66,   1.10,   0.74,   0.40,   0.90,   0.17,   0.72,   0.64,   0.16,   0.71
19780824,   0.58,   0.30,   0.19,   0.41,   0.20,   0.36,   0.13,   0.37,   0.04,   0.41
19780825,   0.01,   0.10,   0.01,   0.18,   0.10,  -0.07,   0.29,  -0.39,  -0.05,   0.25
19780828,  -0.60,  -0.78,  -0.92,  -0.85,  -0.87,  -0.42,  -0.54,  -0.97,  -0.29,  -0.50
19780829,  -0.67,  -1.12,  -0.57,  -0.48,  -0.81,  -0.28,  -0.59,  -0.41,  -0.24,  -0.48
19780830,   0.18,  -0.40,   0.10,   0.24,   0.56,  -0.08,   0.23,  -0.01,  -0.03,   0.36
19780831,  -0.17,  -0.32,  -0.37,   0.13,  -0.19,  -0.17,  -0.22,  -0.22,   0.19,  -0.23
19780901,   0.13,  -0.01,   0.48,   1.13,   0.75,  -0.18,   0.12,   0.68,  -0.17,   0.36
19780905,   0.06,   0.65,   0.51,   0.76,   1.68,   0.05,   0.51,   0.54,   0.10,   0.45
